region	chr	midPos	Nsites
(419,1100)(245550,246232)(200000,250000)	JASDQU010010323.1	225000	683	-0.018917
(201,737)(279550,294130)(250000,300000)	JASDQU010010346.1	275000	538	0.039205
(1062,1177)(188964,189084)(150000,200000)	JASDQU010010373.1	175000	117	0.072453
(668,1386)(78476,79205)(50000,100000)	JASDQU010010379.1	75000	720	0.233624
(428,1187)(75815,76650)(50000,100000)	JASDQU010010393.1	75000	761	0.191347
(729,771)(99549,99631)(50000,100000)	JASDQU010010406.1	75000	44	0.026120
(90,638)(203572,204282)(200000,250000)	JASDQU010010416.1	225000	550	0.013898
(494,552)(72683,72751)(50000,100000)	JASDQU010010418.1	75000	60	0.253637
(458,643)(91284,91471)(50000,100000)	JASDQU010010419.1	75000	187	0.016656
(551,1502)(220838,241235)(200000,250000)	JASDQU010010437.1	225000	953	0.151010
(717,889)(101973,102146)(100000,150000)	JASDQU010010459.1	125000	174	0.019827
(290,420)(217875,218158)(200000,250000)	JASDQU010010510.1	225000	132	0.042594
(2129,3351)(294782,296677)(250000,300000)	JASDQU010010524.1	275000	1224	0.074403
(145,2927)(50000,82980)(50000,100000)	JASDQU010010538.1	75000	2784	0.014491
(2928,4157)(293930,295159)(250000,300000)	JASDQU010010538.1	275000	1231	0.095400
(4158,5379)(437589,444975)(400000,450000)	JASDQU010010538.1	425000	1223	0.254869
(5380,5487)(481499,481607)(450000,500000)	JASDQU010010538.1	475000	109	0.120761
(670,6695)(225482,234732)(200000,250000)	JASDQU010010545.1	225000	6027	0.395531
(556,1049)(229264,230183)(200000,250000)	JASDQU010010551.1	225000	495	0.018129
(204,1921)(59701,97147)(50000,100000)	JASDQU010010577.1	75000	1719	0.445519
(1922,2014)(300552,300658)(300000,350000)	JASDQU010010577.1	325000	94	0.360181
(428,506)(75672,75887)(50000,100000)	JASDQU010010589.1	75000	80	0.013952
(337,702)(111280,111712)(100000,150000)	JASDQU010010590.1	125000	367	0.057322
(160,1887)(181666,183554)(150000,200000)	JASDQU010010591.1	175000	1729	0.397863
(5,1643)(91261,92947)(50000,100000)	JASDQU010010597.1	75000	1640	0.324779
(1179,1385)(78118,78324)(50000,100000)	JASDQU010010600.1	75000	208	0.024484
(95,322)(68536,81708)(50000,100000)	JASDQU010010616.1	75000	229	0.040236
(2897,2928)(108812,108844)(100000,150000)	JASDQU010010631.1	125000	33	0.076634
(122,2598)(164773,169562)(150000,200000)	JASDQU010010645.1	175000	2478	0.182810
(65,816)(108686,110315)(100000,150000)	JASDQU010010655.1	125000	753	0.581602
(652,758)(155798,155909)(150000,200000)	JASDQU010010661.1	175000	108	0.031533
(779,3555)(161638,166467)(150000,200000)	JASDQU010010666.1	175000	2778	0.411177
(3556,3677)(397007,397130)(350000,400000)	JASDQU010010666.1	375000	123	0.016104
(9,38)(200037,200068)(200000,250000)	JASDQU010010672.1	225000	31	0.118261
(398,773)(75071,75463)(50000,100000)	JASDQU010010688.1	75000	377	0.021378
(13,44)(119752,119796)(100000,150000)	JASDQU010010689.1	125000	33	0.261112
(82,1457)(212693,214071)(200000,250000)	JASDQU010010690.1	225000	1377	0.423017
(2356,2420)(75575,75648)(50000,100000)	JASDQU010010697.1	75000	66	0.043073
(353,966)(150000,150629)(150000,200000)	JASDQU010010711.1	175000	615	0.353425
(750,808)(88271,88334)(50000,100000)	JASDQU010010712.1	75000	60	0.040796
(248,765)(100000,100521)(100000,150000)	JASDQU010010736.1	125000	519	0.210278
(1056,1186)(58006,58163)(50000,100000)	JASDQU010010737.1	75000	132	0.007793
(1187,1228)(155921,163716)(150000,200000)	JASDQU010010737.1	175000	43	0.003806
(929,1763)(196222,197069)(150000,200000)	JASDQU010010770.1	175000	836	0.015795
(939,1987)(50737,51805)(50000,100000)	JASDQU010010788.1	75000	1050	0.106926
(402,913)(159981,173180)(150000,200000)	JASDQU010010812.1	175000	513	0.027683
(1903,1994)(117968,118255)(100000,150000)	JASDQU010010819.1	125000	93	0.067634
(168,2714)(109756,114151)(100000,150000)	JASDQU010010860.1	125000	2548	0.172423
(1827,4142)(82508,94494)(50000,100000)	JASDQU010010883.1	75000	2317	0.067832
(651,700)(179747,179830)(150000,200000)	JASDQU010010907.1	175000	51	0.221364
(63,1466)(77129,79979)(50000,100000)	JASDQU010010910.1	75000	1405	0.155109
(675,751)(181493,181704)(150000,200000)	JASDQU010010912.1	175000	78	0.182856
(368,1149)(144952,145755)(100000,150000)	JASDQU010010916.1	125000	783	0.182257
(901,1648)(51242,52014)(50000,100000)	JASDQU010010917.1	75000	749	0.078157
(2293,2361)(187564,197056)(150000,200000)	JASDQU010010949.1	175000	70	0.144960
(269,1052)(72123,98030)(50000,100000)	JASDQU010010950.1	75000	785	0.135442
(131,762)(191001,191637)(150000,200000)	JASDQU010010971.1	175000	633	0.330568
(763,861)(201228,201705)(200000,250000)	JASDQU010010971.1	225000	100	0.032557
(262,1332)(70545,95028)(50000,100000)	JASDQU010010976.1	75000	1072	0.389708
(502,1746)(147710,148973)(100000,150000)	JASDQU010010977.1	125000	1246	0.085837
(21,548)(86352,86892)(50000,100000)	JASDQU010011012.1	75000	529	0.070429
(2230,2345)(114982,115109)(100000,150000)	JASDQU010011022.1	125000	117	0.087468
(546,1030)(50181,83671)(50000,100000)	JASDQU010011027.1	75000	486	0.042943
(539,920)(272017,272600)(250000,300000)	JASDQU010011044.1	275000	383	0.134715
(665,689)(72942,72994)(50000,100000)	JASDQU010011046.1	75000	26	0.058122
(535,609)(56821,56904)(50000,100000)	JASDQU010011050.1	75000	76	0.066814
(604,1626)(59416,60452)(50000,100000)	JASDQU010011054.1	75000	1024	0.374283
(960,1249)(170403,170836)(150000,200000)	JASDQU010011056.1	175000	291	0.640609
(394,629)(291547,291805)(250000,300000)	JASDQU010011088.1	275000	237	0.417967
(630,805)(342660,342847)(300000,350000)	JASDQU010011088.1	325000	177	0.191179
(809,1573)(302329,309247)(300000,350000)	JASDQU010011092.1	325000	766	0.006055
(2023,2229)(87688,87923)(50000,100000)	JASDQU010011112.1	75000	208	0.064892
(298,1070)(109946,124625)(100000,150000)	JASDQU010011116.1	125000	774	0.233464
(73,1130)(234431,247306)(200000,250000)	JASDQU010011137.1	225000	1059	0.232109
(888,983)(55393,55804)(50000,100000)	JASDQU010011159.1	75000	97	0.545814
(1801,1866)(194299,194369)(150000,200000)	JASDQU010011175.1	175000	67	0.115159
(703,1280)(156335,156930)(150000,200000)	JASDQU010011186.1	175000	579	0.339363
(253,550)(208173,208520)(200000,250000)	JASDQU010011208.1	225000	299	0.012220
(551,701)(349494,349644)(300000,350000)	JASDQU010011208.1	325000	152	0.263180
(581,1779)(122988,142542)(100000,150000)	JASDQU010011232.1	125000	1200	0.308493
(4412,4865)(381631,382102)(350000,400000)	JASDQU010011246.1	375000	455	0.173110
(290,413)(74054,74188)(50000,100000)	JASDQU010011254.1	75000	125	0.068798
(414,2495)(108512,142179)(100000,150000)	JASDQU010011254.1	125000	2083	0.266726
(2496,2613)(189159,189445)(150000,200000)	JASDQU010011254.1	175000	119	0.131058
(50,899)(55964,76392)(50000,100000)	JASDQU010011265.1	75000	851	0.158952
(289,1133)(198169,199021)(150000,200000)	JASDQU010011279.1	175000	846	0.235671
(47,686)(146361,147007)(100000,150000)	JASDQU010011285.1	125000	641	0.384290
(687,1910)(157650,158990)(150000,200000)	JASDQU010011285.1	175000	1225	0.371137
(1679,2489)(187123,187936)(150000,200000)	JASDQU010011294.1	175000	812	0.071522
(405,1822)(132379,133805)(100000,150000)	JASDQU010011299.1	125000	1419	0.207848
(1823,2273)(167361,197541)(150000,200000)	JASDQU010011299.1	175000	452	0.211889
(1243,1348)(150158,150293)(150000,200000)	JASDQU010011325.1	175000	107	0.165650
(852,1598)(154628,181756)(150000,200000)	JASDQU010011334.1	175000	748	0.053158
(175,1082)(143553,145023)(100000,150000)	JASDQU010011340.1	125000	909	0.032722
(46,114)(181757,181832)(150000,200000)	JASDQU010011388.1	175000	70	0.061973
(224,238)(294175,294193)(250000,300000)	JASDQU010011396.1	275000	16	0.100560
(372,673)(96327,96693)(50000,100000)	JASDQU010011404.1	75000	303	0.057124
(674,1220)(394567,395122)(350000,400000)	JASDQU010011404.1	375000	548	0.149972
(1221,1310)(452154,452254)(450000,500000)	JASDQU010011404.1	475000	91	0.089729
(604,3385)(251775,270775)(250000,300000)	JASDQU010011406.1	275000	2783	0.130528
(1025,1900)(102326,132110)(100000,150000)	JASDQU010011412.1	125000	877	0.114393
(2261,6959)(75689,98902)(50000,100000)	JASDQU010011434.1	75000	4700	0.140764
(130,267)(61537,61692)(50000,100000)	JASDQU010011435.1	75000	139	0.096647
(903,1571)(210251,210960)(200000,250000)	JASDQU010011445.1	225000	670	0.239576
(1081,1611)(55977,56658)(50000,100000)	JASDQU010011454.1	75000	532	0.004321
(1612,1766)(145309,145466)(100000,150000)	JASDQU010011454.1	125000	156	0.028867
(1767,2059)(324248,347494)(300000,350000)	JASDQU010011454.1	325000	294	0.039765
(804,926)(75264,75398)(50000,100000)	JASDQU010011495.1	75000	124	0.190264
(843,1813)(98251,99384)(50000,100000)	JASDQU010011509.1	75000	972	0.414376
(35,110)(279127,279206)(250000,300000)	JASDQU010011510.1	275000	77	0.030858
(1936,2072)(140759,140902)(100000,150000)	JASDQU010011523.1	125000	138	0.203555
(1909,2729)(200370,203218)(200000,250000)	JASDQU010011528.1	225000	822	0.665685
(86,683)(91775,92448)(50000,100000)	JASDQU010011550.1	75000	599	0.026070
(2008,4656)(106465,111718)(100000,150000)	JASDQU010011558.1	125000	2650	0.502078
(950,2615)(253409,265569)(250000,300000)	JASDQU010011594.1	275000	1667	0.325337
(364,1957)(277957,279556)(250000,300000)	JASDQU010011655.1	275000	1595	0.117599
(584,602)(76505,76548)(50000,100000)	JASDQU010011658.1	75000	20	-0.007333
(1985,2731)(229917,230671)(200000,250000)	JASDQU010011712.1	225000	748	0.272024
(2732,2766)(316921,316972)(300000,350000)	JASDQU010011712.1	325000	36	0.079669
(1565,3025)(70901,72710)(50000,100000)	JASDQU010011713.1	75000	1462	0.083278
(3026,3265)(248913,249158)(200000,250000)	JASDQU010011713.1	225000	241	0.037426
(273,353)(50461,50565)(50000,100000)	JASDQU010011725.1	75000	82	-0.013320
(506,843)(205264,205603)(200000,250000)	JASDQU010011735.1	225000	339	0.463850
(411,1570)(150475,168829)(150000,200000)	JASDQU010011737.1	175000	1161	0.039852
(155,1608)(236846,238407)(200000,250000)	JASDQU010011741.1	225000	1455	0.143150
(109,2431)(57544,89943)(50000,100000)	JASDQU010011755.1	75000	2324	0.047947
(2432,2570)(180406,180564)(150000,200000)	JASDQU010011755.1	175000	140	0.102110
(729,4770)(250000,256995)(250000,300000)	JASDQU010011766.1	275000	4043	0.407227
(18,899)(50223,54039)(50000,100000)	JASDQU010011811.1	75000	883	0.209372
(1404,2448)(184307,187827)(150000,200000)	JASDQU010011818.1	175000	1046	0.127810
(161,457)(68476,69882)(50000,100000)	JASDQU010011822.1	75000	298	0.048517
(564,1496)(67763,68695)(50000,100000)	JASDQU010011849.1	75000	934	0.317937
(358,883)(217955,243924)(200000,250000)	JASDQU010011854.1	225000	527	0.010408
(884,1276)(257158,258118)(250000,300000)	JASDQU010011854.1	275000	394	0.029168
(190,405)(100592,100953)(100000,150000)	JASDQU010011859.1	125000	217	0.027481
(380,440)(87527,87620)(50000,100000)	JASDQU010011862.1	75000	62	0.060720
(1199,1274)(236466,236864)(200000,250000)	JASDQU010011868.1	225000	77	0.054555
(93,485)(139603,140161)(100000,150000)	JASDQU010011895.1	125000	394	0.094685
(683,1007)(102008,133336)(100000,150000)	JASDQU010011928.1	125000	326	0.040021
(113,125)(104428,104466)(100000,150000)	JASDQU010011941.1	125000	14	0.001124
(7,238)(148606,148935)(100000,150000)	JASDQU010011946.1	125000	233	0.462744
(239,2369)(175415,192192)(150000,200000)	JASDQU010011946.1	175000	2132	0.144959
(31,540)(113208,113736)(100000,150000)	JASDQU010011954.1	125000	511	0.158032
(434,1525)(74035,82813)(50000,100000)	JASDQU010011990.1	75000	1093	0.363391
(1743,2586)(50000,50844)(50000,100000)	JASDQU010012037.1	75000	845	0.333606
(104,245)(52506,52650)(50000,100000)	JASDQU010012102.1	75000	143	0.000709
(188,2339)(114076,117510)(100000,150000)	JASDQU010012175.1	125000	2153	0.069991
(375,694)(138535,138868)(100000,150000)	JASDQU010012216.1	125000	321	0.467692
(673,1367)(306553,307289)(300000,350000)	JASDQU010012224.1	325000	696	0.347902
(1368,1378)(356076,356090)(350000,400000)	JASDQU010012224.1	375000	12	0.049495
(360,1543)(148778,149999)(100000,150000)	JASDQU010012231.1	125000	1185	0.395262
(692,1472)(115147,115963)(100000,150000)	JASDQU010012247.1	125000	782	0.434109
(318,1219)(51543,84604)(50000,100000)	JASDQU010012267.1	75000	903	0.107939
(1394,1647)(60437,60921)(50000,100000)	JASDQU010012272.1	75000	255	0.042321
(34,172)(188550,188715)(150000,200000)	JASDQU010012284.1	175000	140	0.269020
(5071,6166)(51979,81751)(50000,100000)	JASDQU010012294.1	75000	1097	0.071849
(172,2916)(88146,91018)(50000,100000)	JASDQU010012295.1	75000	2746	0.195916
(350,1169)(107637,108456)(100000,150000)	JASDQU010012330.1	125000	821	-0.000935
(1170,1177)(189679,189689)(150000,200000)	JASDQU010012330.1	175000	9	0.068877
(1178,4200)(443345,446908)(400000,450000)	JASDQU010012330.1	425000	3024	0.401679
(4201,4256)(499847,499909)(450000,500000)	JASDQU010012330.1	475000	57	0.103066
(322,1224)(161096,162008)(150000,200000)	JASDQU010012341.1	175000	904	0.363217
(78,474)(219399,219808)(200000,250000)	JASDQU010012357.1	225000	398	0.081503
(70,196)(53242,53369)(50000,100000)	JASDQU010012369.1	75000	128	0.098505
(1311,6250)(210792,235478)(200000,250000)	JASDQU010012376.1	225000	4941	0.122086
(252,382)(189017,189160)(150000,200000)	JASDQU010012402.1	175000	132	0.075747
(835,1589)(150000,165608)(150000,200000)	JASDQU010012403.1	175000	756	0.030269
(920,1288)(51831,52204)(50000,100000)	JASDQU010012404.1	75000	370	0.225901
(170,302)(64301,64447)(50000,100000)	JASDQU010012418.1	75000	134	0.352935
(6,1073)(118935,121392)(100000,150000)	JASDQU010012424.1	125000	1069	0.495328
(845,1163)(284595,285024)(250000,300000)	JASDQU010012430.1	275000	320	0.181347
(1330,2985)(53379,81966)(50000,100000)	JASDQU010012433.1	75000	1657	0.114751
(2630,2784)(150000,150155)(150000,200000)	JASDQU010012436.1	175000	156	0.013598
(2785,5634)(244025,246988)(200000,250000)	JASDQU010012436.1	225000	2851	0.191213
(639,733)(127980,128080)(100000,150000)	JASDQU010012453.1	125000	96	0.065533
(361,2026)(81176,93710)(50000,100000)	JASDQU010012481.1	75000	1667	0.149125
(915,1040)(66529,69741)(50000,100000)	JASDQU010012496.1	75000	127	0.053765
(1041,1534)(101754,127397)(100000,150000)	JASDQU010012496.1	125000	495	0.085347
(381,2332)(120160,139697)(100000,150000)	JASDQU010012519.1	125000	1953	0.263046
(930,2273)(183682,185102)(150000,200000)	JASDQU010012534.1	175000	1345	0.300830
(2274,3009)(392752,393499)(350000,400000)	JASDQU010012534.1	375000	737	0.419270
(4,841)(94159,97684)(50000,100000)	JASDQU010012548.1	75000	839	0.085472
(229,1350)(54190,89702)(50000,100000)	JASDQU010012559.1	75000	1123	0.083462
(1078,1106)(63261,63289)(50000,100000)	JASDQU010012579.1	75000	30	0.033689
(502,917)(145089,145527)(100000,150000)	JASDQU010012661.1	125000	417	0.148734
(1663,1714)(167128,167187)(150000,200000)	JASDQU010012676.1	175000	53	0.094179
(2267,4995)(50000,85706)(50000,100000)	JASDQU010012687.1	75000	2730	0.321769
(526,889)(231893,232387)(200000,250000)	JASDQU010012707.1	225000	365	0.044011
(563,1021)(163939,191494)(150000,200000)	JASDQU010012758.1	175000	460	0.174895
(494,860)(134625,135788)(100000,150000)	JASDQU010012783.1	125000	368	0.068161
(456,1736)(157289,190073)(150000,200000)	JASDQU010012785.1	175000	1282	0.078058
(1737,1878)(207782,207936)(200000,250000)	JASDQU010012785.1	225000	143	0.032817
(1892,1998)(100493,100616)(100000,150000)	JASDQU010012792.1	125000	108	0.058784
(1999,2976)(293964,295571)(250000,300000)	JASDQU010012792.1	275000	979	0.187981
(40,1751)(163590,196597)(150000,200000)	JASDQU010012815.1	175000	1713	0.050742
(7545,8174)(76016,76654)(50000,100000)	JASDQU010012840.1	75000	631	0.227240
(1003,1125)(95216,95344)(50000,100000)	JASDQU010012843.1	75000	124	-0.002616
(2727,2729)(131835,131837)(100000,150000)	JASDQU010012850.1	125000	4	0.065333
(766,904)(199675,199813)(150000,200000)	JASDQU010012855.1	175000	140	-0.001021
(325,1215)(115883,143733)(100000,150000)	JASDQU010012909.1	125000	892	0.461560
(1024,1206)(100000,100190)(100000,150000)	JASDQU010012914.1	125000	184	0.022223
(120,395)(279121,279541)(250000,300000)	JASDQU010012930.1	275000	277	0.117196
(1834,2729)(77381,78296)(50000,100000)	JASDQU010012940.1	75000	897	0.083500
(859,1236)(344402,344803)(300000,350000)	JASDQU010012943.1	325000	379	0.001542
(189,281)(77863,77957)(50000,100000)	JASDQU010012960.1	75000	94	0.041671
(91,124)(100305,100340)(100000,150000)	JASDQU010012973.1	125000	35	0.067932
(148,173)(153308,153348)(150000,200000)	JASDQU010012977.1	175000	27	0.060520
(464,1016)(102127,109627)(100000,150000)	JASDQU010013018.1	125000	554	0.009009
(1017,1036)(242818,242847)(200000,250000)	JASDQU010013018.1	225000	21	0.033922
(4341,4903)(50983,51547)(50000,100000)	JASDQU010013045.1	75000	564	0.207416
(484,506)(134667,134698)(100000,150000)	JASDQU010013080.1	125000	24	0.024050
(507,753)(156295,194223)(150000,200000)	JASDQU010013080.1	175000	248	0.046307
(15,804)(170621,196361)(150000,200000)	JASDQU010013107.1	175000	791	0.183195
(661,1122)(204752,245283)(200000,250000)	JASDQU010013133.1	225000	463	0.011373
(1550,3584)(63560,69422)(50000,100000)	JASDQU010013151.1	75000	2036	0.217343
(881,3339)(55031,67481)(50000,100000)	JASDQU010013177.1	75000	2460	0.315399
(481,1427)(72238,79628)(50000,100000)	JASDQU010013212.1	75000	948	0.063582
(708,756)(99275,99323)(50000,100000)	JASDQU010013226.1	75000	50	0.093443
(32,1794)(153800,188677)(150000,200000)	JASDQU010013253.1	175000	1764	0.161304
(1097,1492)(183637,184653)(150000,200000)	JASDQU010013256.1	175000	397	0.067534
(127,770)(70697,79091)(50000,100000)	JASDQU010013259.1	75000	645	0.141769
(905,1977)(74974,81914)(50000,100000)	JASDQU010013271.1	75000	1074	0.553170
(1978,2217)(161865,162106)(150000,200000)	JASDQU010013271.1	175000	241	0.020239
(2218,2682)(219936,220489)(200000,250000)	JASDQU010013271.1	225000	466	0.610668
(2252,2487)(219772,220031)(200000,250000)	JASDQU010013272.1	225000	237	0.500038
(132,338)(97613,97839)(50000,100000)	JASDQU010013282.1	75000	208	0.012359
(154,658)(117965,118557)(100000,150000)	JASDQU010013285.1	125000	506	0.408067
(1123,1374)(100424,127176)(100000,150000)	JASDQU010013294.1	125000	253	0.228729
(30,478)(198952,199475)(150000,200000)	JASDQU010013303.1	175000	450	0.330796
(1073,1262)(204296,204495)(200000,250000)	JASDQU010013311.1	225000	191	0.519733
(245,921)(63206,63883)(50000,100000)	JASDQU010013315.1	75000	678	0.432132
(328,792)(60522,61110)(50000,100000)	JASDQU010013319.1	75000	466	0.465609
(702,1189)(70034,70564)(50000,100000)	JASDQU010013326.1	75000	489	0.011281
(1016,1507)(163331,163864)(150000,200000)	JASDQU010013330.1	175000	493	0.162073
(2026,2255)(221931,222234)(200000,250000)	JASDQU010013353.1	225000	231	0.173882
(208,339)(140338,140484)(100000,150000)	JASDQU010013357.1	125000	133	0.045563
(714,1504)(114408,115281)(100000,150000)	JASDQU010013361.1	125000	792	0.315076
(1,77)(90156,90245)(50000,100000)	JASDQU010013389.1	75000	78	0.056589
(237,1161)(72179,97343)(50000,100000)	JASDQU010013423.1	75000	926	0.265831
(187,248)(499796,499999)(450000,500000)	JASDQU010013459.1	475000	63	0.226243
(49,606)(115576,116136)(100000,150000)	JASDQU010013474.1	125000	559	0.066613
(711,1135)(56153,86728)(50000,100000)	JASDQU010013477.1	75000	426	0.351301
(1136,2286)(129128,145364)(100000,150000)	JASDQU010013477.1	125000	1152	0.060486
(2287,3450)(168483,199999)(150000,200000)	JASDQU010013477.1	175000	1165	0.031877
(939,1266)(106843,107463)(100000,150000)	JASDQU010013500.1	125000	329	0.407499
(139,275)(100000,126902)(100000,150000)	JASDQU010013504.1	125000	138	0.094196
(276,855)(293065,298085)(250000,300000)	JASDQU010013504.1	275000	581	0.152384
(3280,3401)(94390,94526)(50000,100000)	JASDQU010013573.1	75000	123	0.130921
(353,463)(97392,97510)(50000,100000)	JASDQU010013607.1	75000	112	0.029682
(658,1437)(55276,89371)(50000,100000)	JASDQU010013629.1	75000	781	0.084489
(913,2026)(100272,103150)(100000,150000)	JASDQU010013654.1	125000	1115	0.100961
(334,2550)(184062,187003)(150000,200000)	JASDQU010013667.1	175000	2218	0.193685
(561,629)(116596,116708)(100000,150000)	JASDQU010013668.1	125000	70	0.069107
(2698,3327)(148520,149174)(100000,150000)	JASDQU010013693.1	125000	631	0.113757
(415,1047)(86595,87468)(50000,100000)	JASDQU010013698.1	75000	634	-0.006846
(3253,4042)(150000,150789)(150000,200000)	JASDQU010013719.1	175000	791	0.097632
(91,2673)(203464,206718)(200000,250000)	JASDQU010013720.1	225000	2584	0.416866
(641,862)(106840,107153)(100000,150000)	JASDQU010013735.1	125000	223	0.025181
(4482,4564)(153021,153104)(150000,200000)	JASDQU010013740.1	175000	84	0.029464
(559,674)(150000,150118)(150000,200000)	JASDQU010013749.1	175000	117	0.045895
(295,1557)(80746,82407)(50000,100000)	JASDQU010013788.1	75000	1264	0.275187
(354,4557)(330277,336634)(300000,350000)	JASDQU010013845.1	325000	4205	0.070901
(2811,4091)(100813,121097)(100000,150000)	JASDQU010013892.1	125000	1282	0.304535
(2549,7836)(63640,80671)(50000,100000)	JASDQU010013931.1	75000	5289	0.399938
(1051,1731)(52843,58327)(50000,100000)	JASDQU010013938.1	75000	682	0.013497
(1732,1788)(123172,123287)(100000,150000)	JASDQU010013938.1	125000	58	0.091009
(368,2101)(122903,124713)(100000,150000)	JASDQU010013956.1	125000	1735	0.502980
(108,783)(237193,237959)(200000,250000)	JASDQU010013969.1	225000	677	0.091818
(473,2550)(101686,108805)(100000,150000)	JASDQU010013986.1	125000	2079	0.247430
(446,1605)(69111,73555)(50000,100000)	JASDQU010013996.1	75000	1161	0.025129
(654,805)(149409,149575)(100000,150000)	JASDQU010014056.1	125000	153	-0.015257
(806,944)(283873,284204)(250000,300000)	JASDQU010014056.1	275000	140	0.347349
(471,503)(127169,127209)(100000,150000)	JASDQU010014075.1	125000	34	-0.011503
(504,814)(298072,298412)(250000,300000)	JASDQU010014075.1	275000	312	0.162199
(135,312)(62305,62498)(50000,100000)	JASDQU010014087.1	75000	179	0.170840
(3086,3578)(100000,100500)(100000,150000)	JASDQU010014116.1	125000	494	0.687073
(690,2534)(61667,94378)(50000,100000)	JASDQU010014129.1	75000	1846	0.209543
(2535,2959)(156686,157122)(150000,200000)	JASDQU010014129.1	175000	426	0.216180
(436,771)(54348,54734)(50000,100000)	JASDQU010014170.1	75000	337	-0.009905
(348,981)(255837,256479)(250000,300000)	JASDQU010014184.1	275000	635	0.042885
(474,4607)(50000,62469)(50000,100000)	JASDQU010014202.1	75000	4135	0.167860
(98,235)(385207,385388)(350000,400000)	JASDQU010014226.1	375000	139	0.029020
(1,73)(208387,208473)(200000,250000)	JASDQU010014230.1	225000	74	0.135433
(594,1531)(291280,292223)(250000,300000)	JASDQU010014236.1	275000	939	0.270447
(1532,1988)(315307,317874)(300000,350000)	JASDQU010014236.1	325000	458	0.064108
(625,879)(217133,217395)(200000,250000)	JASDQU010014249.1	225000	256	0.036669
(1219,1247)(168303,168351)(150000,200000)	JASDQU010014294.1	175000	30	0.236948
(877,1598)(156864,159597)(150000,200000)	JASDQU010014329.1	175000	723	0.041905
(1424,1471)(59584,59639)(50000,100000)	JASDQU010014331.1	75000	49	0.011631
(404,529)(50000,50125)(50000,100000)	JASDQU010014337.1	75000	127	0.007149
(120,2148)(78264,92120)(50000,100000)	JASDQU010014346.1	75000	2030	0.127133
(2060,2352)(201307,201729)(200000,250000)	JASDQU010014358.1	225000	294	0.041024
(740,1187)(84150,85276)(50000,100000)	JASDQU010014364.1	75000	449	0.080226
